Indicator;Year;Region;Zone;Percentage;Real
Population covered by a mobile-cellular network (%);2024;Europe;Total;99,8;
Population covered by a mobile-cellular network (%);2015; World ;Urban;99,9;
Population covered by a mobile-cellular network (%);2015; Low-income ;Urban;96,8;
Population covered by a mobile-cellular network (%);2015; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2015; Upper-middle-income ;Urban;99,8;
Population covered by a mobile-cellular network (%);2015; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2015; Least Developed Countries (LDCs) ;Urban;99,1;
Population covered by a mobile-cellular network (%);2015; Land Locked Developing Countries (LLDCs) ;Urban;98,6;
Population covered by a mobile-cellular network (%);2015; Small Island Developing States (SIDS) ;Urban;99,8;
Population covered by a mobile-cellular network (%);2016; World ;Urban;100;
Population covered by a mobile-cellular network (%);2016; Low-income ;Urban;99,4;
Population covered by a mobile-cellular network (%);2016; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2016; Upper-middle-income ;Urban;99,9;
Population covered by a mobile-cellular network (%);2016; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2016; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2016; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2016; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2017; World ;Urban;100;
Population covered by a mobile-cellular network (%);2017; Low-income ;Urban;99,8;
Population covered by a mobile-cellular network (%);2017; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2017; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2017; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2017; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2017; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2017; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2018; World ;Urban;100;
Population covered by a mobile-cellular network (%);2018; Low-income ;Urban;99,8;
Population covered by a mobile-cellular network (%);2018; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2018; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2018; High-income ;Urban;99,9;
Population covered by a mobile-cellular network (%);2018; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2018; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2018; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2019; World ;Urban;100;
Population covered by a mobile-cellular network (%);2019; Low-income ;Urban;99,8;
Population covered by a mobile-cellular network (%);2019; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2019; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2019; High-income ;Urban;99,9;
Population covered by a mobile-cellular network (%);2019; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2019; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2019; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2020; World ;Urban;100;
Population covered by a mobile-cellular network (%);2020; Low-income ;Urban;100;
Population covered by a mobile-cellular network (%);2020; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2020; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2020; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2020; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2020; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2020; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2021; World ;Urban;100;
Population covered by a mobile-cellular network (%);2021; Low-income ;Urban;100;
Population covered by a mobile-cellular network (%);2021; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2021; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2021; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2021; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2021; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2021; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2022; World ;Urban;100;
Population covered by a mobile-cellular network (%);2022; Low-income ;Urban;100;
Population covered by a mobile-cellular network (%);2022; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2022; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2022; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2022; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2022; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2022; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2023; World ;Urban;100;
Population covered by a mobile-cellular network (%);2023; Low-income ;Urban;100;
Population covered by a mobile-cellular network (%);2023; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2023; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2023; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2023; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2023; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2023; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2024; World ;Urban;100;
Population covered by a mobile-cellular network (%);2024; Low-income ;Urban;100;
Population covered by a mobile-cellular network (%);2024; Lower-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2024; Upper-middle-income ;Urban;100;
Population covered by a mobile-cellular network (%);2024; High-income ;Urban;100;
Population covered by a mobile-cellular network (%);2024; Least Developed Countries (LDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2024; Land Locked Developing Countries (LLDCs) ;Urban;100;
Population covered by a mobile-cellular network (%);2024; Small Island Developing States (SIDS) ;Urban;99,9;
Population covered by a mobile-cellular network (%);2015;Africa;Urban;99,4;
Population covered by a mobile-cellular network (%);2015;Americas;Urban;99,9;
Population covered by a mobile-cellular network (%);2015;Arab States;Urban;98,9;
Population covered by a mobile-cellular network (%);2015;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2015;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2015;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2016;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2016;Americas;Urban;99,9;
Population covered by a mobile-cellular network (%);2016;Arab States;Urban;99,6;
Population covered by a mobile-cellular network (%);2016;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2016;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2016;Europe;Urban;100;
Population covered by a mobile-cellular network (%);2017;Africa;Urban;100;
Population covered by a mobile-cellular network (%);2017;Americas;Urban;100;
Population covered by a mobile-cellular network (%);2017;Arab States;Urban;100;
Population covered by a mobile-cellular network (%);2017;Asia-Pacific;Urban;100;
Population covered by a mobile-cellular network (%);2017;CIS;Urban;100;
Population covered by a mobile-cellular network (%);2017;Europe;Urban;100;
