Indicator;Year;Region;Zone;Percentage;Real
Population covered by at least a 5G mobile network (%);2022; Least Developed Countries (LDCs) ;Total;0,6;
Population covered by at least a 5G mobile network (%);2022; Land Locked Developing Countries (LLDCs) ;Total;1,7;
Population covered by at least a 5G mobile network (%);2022; Small Island Developing States (SIDS) ;Total;21,4;
Population covered by at least a 5G mobile network (%);2022;Africa;Total;1,9;
Population covered by at least a 5G mobile network (%);2022;Americas;Total;47,3;
Population covered by at least a 5G mobile network (%);2022;Arab States;Total;9,7;
Population covered by at least a 5G mobile network (%);2022;Asia-Pacific;Total;36;
Population covered by at least a 5G mobile network (%);2022;CIS;Total;2,5;
Population covered by at least a 5G mobile network (%);2022;Europe;Total;57,1;
Population covered by at least a 5G mobile network (%);2023; World ;Total;44,5;
Population covered by at least a 5G mobile network (%);2023; Low-income ;Total;0,9;
Population covered by at least a 5G mobile network (%);2023; Lower-middle-income ;Total;26,8;
Population covered by at least a 5G mobile network (%);2023; Upper-middle-income ;Total;58,1;
Population covered by at least a 5G mobile network (%);2023; High-income ;Total;79;
Population covered by at least a 5G mobile network (%);2023; Least Developed Countries (LDCs) ;Total;1,4;
Population covered by at least a 5G mobile network (%);2023; Land Locked Developing Countries (LLDCs) ;Total;2,8;
Population covered by at least a 5G mobile network (%);2023; Small Island Developing States (SIDS) ;Total;22,5;
Population covered by at least a 5G mobile network (%);2023;Africa;Total;5,9;
Population covered by at least a 5G mobile network (%);2023;Americas;Total;54,4;
Population covered by at least a 5G mobile network (%);2023;Arab States;Total;10,9;
Population covered by at least a 5G mobile network (%);2023;Asia-Pacific;Total;55,1;
Population covered by at least a 5G mobile network (%);2023;CIS;Total;3,8;
Population covered by at least a 5G mobile network (%);2023;Europe;Total;64,2;
Population covered by at least a 5G mobile network (%);2024; World ;Total;51,2;
Population covered by at least a 5G mobile network (%);2024; Low-income ;Total;3,5;
Population covered by at least a 5G mobile network (%);2024; Lower-middle-income ;Total;35,4;
Population covered by at least a 5G mobile network (%);2024; Upper-middle-income ;Total;65,2;
Population covered by at least a 5G mobile network (%);2024; High-income ;Total;83,8;
Population covered by at least a 5G mobile network (%);2024; Least Developed Countries (LDCs) ;Total;5,7;
Population covered by at least a 5G mobile network (%);2024; Land Locked Developing Countries (LLDCs) ;Total;9,7;
Population covered by at least a 5G mobile network (%);2024; Small Island Developing States (SIDS) ;Total;26,9;
Population covered by at least a 5G mobile network (%);2024;Africa;Total;11;
Population covered by at least a 5G mobile network (%);2024;Americas;Total;63,4;
Population covered by at least a 5G mobile network (%);2024;Arab States;Total;12,7;
Population covered by at least a 5G mobile network (%);2024;Asia-Pacific;Total;62,3;
Population covered by at least a 5G mobile network (%);2024;CIS;Total;12;
Population covered by at least a 5G mobile network (%);2024;Europe;Total;72,3;
Population covered by at least a 5G mobile network (%);2015; High-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015; Land Locked Developing Countries (LLDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015; Least Developed Countries (LDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015; Lower-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015; Low-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015; Small Island Developing States (SIDS) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015; Upper-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015; World ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015;Africa;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015;Americas;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015;Arab States;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015;Asia-Pacific;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015;CIS;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2015;Europe;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; High-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; Land Locked Developing Countries (LLDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; Least Developed Countries (LDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; Lower-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; Low-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; Small Island Developing States (SIDS) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; Upper-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016; World ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016;Africa;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016;Americas;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016;Arab States;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016;Asia-Pacific;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016;CIS;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2016;Europe;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; High-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; Land Locked Developing Countries (LLDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; Least Developed Countries (LDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; Lower-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; Low-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; Small Island Developing States (SIDS) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; Upper-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017; World ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017;Africa;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017;Americas;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017;Arab States;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017;Asia-Pacific;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017;CIS;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2017;Europe;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; High-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; Land Locked Developing Countries (LLDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; Least Developed Countries (LDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; Lower-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; Low-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; Small Island Developing States (SIDS) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; Upper-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018; World ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018;Africa;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018;Americas;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018;Arab States;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018;Asia-Pacific;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018;CIS;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2018;Europe;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; High-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; Land Locked Developing Countries (LLDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; Least Developed Countries (LDCs) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; Lower-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; Low-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; Small Island Developing States (SIDS) ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; Upper-middle-income ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019; World ;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019;Africa;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019;Americas;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019;Arab States;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019;Asia-Pacific;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019;CIS;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2019;Europe;Urban; N/A ;
Population covered by at least a 5G mobile network (%);2020; World ;Urban;15,6;
Population covered by at least a 5G mobile network (%);2020; Low-income ;Urban; -   ;
Population covered by at least a 5G mobile network (%);2020; Lower-middle-income ;Urban;1,1;
Population covered by at least a 5G mobile network (%);2020; Upper-middle-income ;Urban;2,5;
Population covered by at least a 5G mobile network (%);2020; High-income ;Urban;56,2;
Population covered by at least a 5G mobile network (%);2020; Least Developed Countries (LDCs) ;Urban;0,1;
Population covered by at least a 5G mobile network (%);2020; Land Locked Developing Countries (LLDCs) ;Urban;0,8;
Population covered by at least a 5G mobile network (%);2020; Small Island Developing States (SIDS) ;Urban;12,7;
Population covered by at least a 5G mobile network (%);2020;Africa;Urban;0,1;
Population covered by at least a 5G mobile network (%);2020;Americas;Urban;40,1;
Population covered by at least a 5G mobile network (%);2020;Arab States;Urban;13;
Population covered by at least a 5G mobile network (%);2020;Asia-Pacific;Urban;5,9;
Population covered by at least a 5G mobile network (%);2020;CIS;Urban;0,6;
Population covered by at least a 5G mobile network (%);2020;Europe;Urban;36,1;
Population covered by at least a 5G mobile network (%);2021; World ;Urban;30,7;
Population covered by at least a 5G mobile network (%);2021; Low-income ;Urban; -   ;
Population covered by at least a 5G mobile network (%);2021; Lower-middle-income ;Urban;4,8;
Population covered by at least a 5G mobile network (%);2021; Upper-middle-income ;Urban;25,2;
Population covered by at least a 5G mobile network (%);2021; High-income ;Urban;75,3;
Population covered by at least a 5G mobile network (%);2021; Least Developed Countries (LDCs) ;Urban;0,2;
Population covered by at least a 5G mobile network (%);2021; Land Locked Developing Countries (LLDCs) ;Urban;2,5;
Population covered by at least a 5G mobile network (%);2021; Small Island Developing States (SIDS) ;Urban;17,9;
Population covered by at least a 5G mobile network (%);2021;Africa;Urban;2,2;
Population covered by at least a 5G mobile network (%);2021;Americas;Urban;45,8;
Population covered by at least a 5G mobile network (%);2021;Arab States;Urban;14,4;
Population covered by at least a 5G mobile network (%);2021;Asia-Pacific;Urban;29,2;
Population covered by at least a 5G mobile network (%);2021;CIS;Urban;2,4;
Population covered by at least a 5G mobile network (%);2021;Europe;Urban;56,2;
Population covered by at least a 5G mobile network (%);2022; World ;Urban;47,6;
Population covered by at least a 5G mobile network (%);2022; Low-income ;Urban;1,5;
Population covered by at least a 5G mobile network (%);2022; Lower-middle-income ;Urban;11,9;
Population covered by at least a 5G mobile network (%);2022; Upper-middle-income ;Urban;56,6;
Population covered by at least a 5G mobile network (%);2022; High-income ;Urban;82,8;
Population covered by at least a 5G mobile network (%);2022; Least Developed Countries (LDCs) ;Urban;1,6;
Population covered by at least a 5G mobile network (%);2022; Land Locked Developing Countries (LLDCs) ;Urban;5,2;
Population covered by at least a 5G mobile network (%);2022; Small Island Developing States (SIDS) ;Urban;34;
Population covered by at least a 5G mobile network (%);2022;Africa;Urban;4,5;
Population covered by at least a 5G mobile network (%);2022;Americas;Urban;51,6;
Population covered by at least a 5G mobile network (%);2022;Arab States;Urban;16;
Population covered by at least a 5G mobile network (%);2022;Asia-Pacific;Urban;58;
Population covered by at least a 5G mobile network (%);2022;CIS;Urban;3,8;
Population covered by at least a 5G mobile network (%);2022;Europe;Urban;68,1;
Population covered by at least a 5G mobile network (%);2023; World ;Urban;60,7;
Population covered by at least a 5G mobile network (%);2023; Low-income ;Urban;2,6;
Population covered by at least a 5G mobile network (%);2023; Lower-middle-income ;Urban;48,8;
Population covered by at least a 5G mobile network (%);2023; Upper-middle-income ;Urban;61,7;
Population covered by at least a 5G mobile network (%);2023; High-income ;Urban;86;
Population covered by at least a 5G mobile network (%);2023; Least Developed Countries (LDCs) ;Urban;3,8;
Population covered by at least a 5G mobile network (%);2023; Land Locked Developing Countries (LLDCs) ;Urban;8,6;
Population covered by at least a 5G mobile network (%);2023; Small Island Developing States (SIDS) ;Urban;35,5;
Population covered by at least a 5G mobile network (%);2023;Africa;Urban;13,7;
Population covered by at least a 5G mobile network (%);2023;Americas;Urban;59,7;
Population covered by at least a 5G mobile network (%);2023;Arab States;Urban;17,8;
Population covered by at least a 5G mobile network (%);2023;Asia-Pacific;Urban;78;
Population covered by at least a 5G mobile network (%);2023;CIS;Urban;5,8;
Population covered by at least a 5G mobile network (%);2023;Europe;Urban;74,3;
Population covered by at least a 5G mobile network (%);2024; World ;Urban;67,1;
Population covered by at least a 5G mobile network (%);2024; Low-income ;Urban;9,8;
Population covered by at least a 5G mobile network (%);2024; Lower-middle-income ;Urban;53,7;
Population covered by at least a 5G mobile network (%);2024; Upper-middle-income ;Urban;71,1;
Population covered by at least a 5G mobile network (%);2024; High-income ;Urban;89,5;
Population covered by at least a 5G mobile network (%);2024; Least Developed Countries (LDCs) ;Urban;15,4;
Population covered by at least a 5G mobile network (%);2024; Land Locked Developing Countries (LLDCs) ;Urban;29,6;
Population covered by at least a 5G mobile network (%);2024; Small Island Developing States (SIDS) ;Urban;41,4;
Population covered by at least a 5G mobile network (%);2024;Africa;Urban;25,2;
Population covered by at least a 5G mobile network (%);2024;Americas;Urban;70,4;
Population covered by at least a 5G mobile network (%);2024;Arab States;Urban;20,7;
Population covered by at least a 5G mobile network (%);2024;Asia-Pacific;Urban;81,9;
Population covered by at least a 5G mobile network (%);2024;CIS;Urban;18,1;
Population covered by at least a 5G mobile network (%);2024;Europe;Urban;80,6;
